year,prcptot
1904,NA
1905,991.7
1906,1423
1907,1164.1
1908,1149.3
1909,1033.3
1910,1099.7
1911,1130.7
1912,1709.9
1913,945
1914,1294.3
1915,1277.5
1916,1027.9
1917,1115.7
1918,1163.2
1919,1017
1920,1579.3
1921,1104.5
1922,1270.2
1923,894.6
1924,1212.2
1925,808.2
1926,NA
1927,781.2
1928,NA
1929,1781.7
1930,1223.6
1931,712.7
1932,1022.5
1933,1134
1934,893.4
1935,1164.3
1936,1190.3
1937,1567.7
1938,953.8
1939,1066
1940,1004.6
1941,950.9
1942,1143.3
1943,954.8
1944,1525.5
1945,1211.3
1946,1038.2
1947,1728.2
1948,1577.6
1949,1051.8
1950,1426.8
1951,1141
1952,939
1953,1590.9
1954,843.4
1955,1142.3
1956,1158.3
1957,1365.3
1958,1074.1
1959,1576.7
1960,1100.3
1961,1274.1
1962,1033.7
1963,1170.3
1964,1533.3
1965,1116.6
1966,1363.1
1967,1307.9
1968,916.4
1969,1416.7
1970,1289.4
1971,1106.7
1972,1128.7
1973,NA
1974,1094.1
1975,1435.1
1976,1671.6
1977,1185.2
1978,928.7
1979,NA
1980,NA
1981,849.9
1982,NA
1983,1064.8
1984,1170.6
1985,1350.2
1986,1065.7
1987,1150.3
1988,1390.4
1989,1207.9
1990,1001.8
1991,1512.8
1992,1535.9
1993,1039.1
1994,1639.6
1995,1236.9
1996,937.3
1997,1355
1998,1310.5
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,1318.9
2018,NA
2019,NA
2020,1384.4
2021,1483.7
2022,987.7
2023,1508.9
2024,1519.6
2025,NA
