year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1925,12,29,30.65,NA,74.85,-65.65,-67,107.73,-17.61,NA,137.11
1932,3,10,51.27,67,76.73,-55.7,-56,108.87,107.27,123,132.73
1937,11,21,-26.78,44,87.78,-60.6,-67,124.29,-4.34,111,182.34
1950,11,26,NA,NA,NA,-65.25,-67,105.09,NA,NA,NA
1954,11,3,NA,NA,NA,-42.7,-44,117.36,NA,NA,NA
1960,3,6,NA,NA,NA,-57.49,-61,117.9,NA,NA,NA
1967,2,25,NA,NA,NA,-59.45,-67,115.68,NA,NA,NA
1970,11,24,NA,50,NA,-64.69,-67,108.44,NA,117,NA
1976,11,9,NA,NA,NA,-27.21,-33,105.96,NA,NA,NA
1989,2,24,51.27,61,76.73,-46.72,-50,106.49,24.5,111,164.5
1996,3,10,51.27,61,76.73,-55.7,-56,108.87,107.27,117,132.73
2006,10,23,NA,NA,NA,11.74,11,92.73,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
